,text
0, Digital Media Planner Media Planning| Digital Media
1, Online Bidding Executive pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology
2, Trainee Research/ Research Executive- Hi- Tech Operations Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive
3, Technical Support Technical Support
4, Software Test Engineer -hyderabad manual testing| test engineering| test cases| web testing| web technologies
5, Opening For Adobe Analytics Specialist adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst
6, Sales- Fresher-for Leading Property Consultant channel partners| real estate| negotiation| property| Residential Sales
7, Opportunity For Azure Devops Architect For Hyderabad Location TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS
8, BDE- PUNE Bde
9, Technical Support/ Product Support technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process
10, Executive Assistant To Chairman secretary| executive assistant| ea
11, SEO Executive website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining
12, Workflow Coordinator operations| workflow| tat| monitoring| mts| email
13,Oracle IDAMOracle IDAM|OIM|OAM
14, Looking Facebook /social Media Manager For our Digital Marketing Ageny digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management
15, Wanted Engineering Fresher For MNC Chennai instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate
16, Tooling &amp; Sampling Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management
17, Account Manager Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills
18, Magento Developer Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3
19, Looking For Trained Freshers in MS Dynamics CRM- Hyderabad C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics
20, Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager
21, Business Development / Corporate Sales lead generation| business development| corporate sales
22, Business Development Manager (BDM) contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales
23, QA Executive QA Executive
24, Back End Java Developer - Restful Services/soap Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL
25, Product Engineer Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it
26, Opening For Articulate tool Developer - Articulate / Captivate)chennai Articulate Storyline
27, Urgent Hiring for Area Sales Manager Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager
28, Software Engineer - C++ Development - Ooad/oops C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging
29, Linux Administrator Lead qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos
30, Hiring for Tech Pm/scrum Master for Hyderabad Location Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest
32, US Based Financial Company Looking For Java API Engineers For HYD Java| java api| Banking| j2ee| API| finance| core java| microservices
33, Strong Partner Ecosystem GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge
35, Senior Executive- Contract Logistics- Bom WP-A Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations
36, Accounts Manager filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally
37, Technical Sales Executive with fixed pay & lucrative incentives/UK Inb Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp
38, nutanix sme  Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving
39, System Architect - 3g/4g Wireless Network Architecture & Migration 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE
40,"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Banarm processor|c|device drivers|embedded linux|linux kernel|ipc"
41, Java Developer JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL
42, Regional Representative market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction
43, Hiring For Record To Report fixed assets| accounts payable| record to report| general accounting| general ledger
44, Product & Regional Sales Manager Team management| Regional sales| Management
45, Senior Manager/associate Director - Mandarin Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce
46, ODI Developer/lead ODI Developer - RACI ODI| Matrix
47, UI Developer javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html
48, Assistant Manager  Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing
49, Android Developer android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications
50, International BPO / Non Voice Process / Rotational Shift / Ahmedabad cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel
51, iOS Developer bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation
52, F&A Black belt - Process Excellence Lead Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC
53, IT - Head (preferably from an NGO) networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software
54, Digital Content Producer For largest Media House Automobile| Digital Content| Content Development| Production| Web Content Writing
55, Manager Holidays Tourism| target achievement| negotiation skills| revenue management| Tour Packages
56, Backend Developer PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing
58, Chief Engineer Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure
60, Oracle DBA Consultant - Data Guard/rac Modules WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC
61, Global HR Operations Analyst Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management
63, Compiler- Support Engineer Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD
65, Head Sales- Coworking Company Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing
66," Clubhouse Manager, Facility Manager, Facility Management| facility services"
67, IP DRG / Surgery / ED / Denials Coders sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed
68, Sales Manager - Education Sales Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding
69, HR Associate ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition
70, Manager / Sr Manager - Digital Ad Sales - Ecommerce revenue generation| marketing| ad sales| web technologies
71, Architect Junior/ Middle level co ordination| team management| drafting| loans| online| coordination| quality
72, php developer English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time
73, Openstack Engineer / Openstack Admin with Ceph Storage cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible
74, Sr. Software Engineer National| Branch| Vice President| J2Ee| Software
75, Software Engineering- Mentor Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment
76, Application Tester Performance Testing| Software Testing| Manual Testing| Quality Testing
77, Credit Control - Manager / Asst. Manager Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control
78, Night Shift - Non Voice / Web Chat - BPO international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher
79, Sales Executive Innovative| Aggressive
80, Design Engineer Mechanical Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation
81, Android developer design| android| erp| software| mvc| quality
82, Technical Writer Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support
83," Pro-Engineer , Matlab ,Ansys Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals"
84, Business Development Executive - Kolkata Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision
85, Accountant - UK Based Accounting Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns
86, Opportunity For Current Account RM ||bank || Delhi Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account
87, PHP Developer XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax
88, Senior Engineering Maintenance Manager For Knitting and ZLD System zld| Engineering Management| knitting
89, Accounting Specialist Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing
90, Manager (Service Operation) ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition
91, DevOps Engineer Intern Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP
92, PHP Developer (wordpress & Woo Commerce/shopify / Magento) C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax
93, Java Developer CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery
94, Sr. Manager- Business Development Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal
95, Test Principal Engineer Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys
96, Graphic Designer Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive
97, Business Development Executive Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost
98, Animation Resident Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior
99,Enterprise Business Development Representativemarket penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales
100, Dot Net Developer jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming
101," Urgent Opening for ""US Staffing Professionals"" - Noida technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing"
102, Front Office Executive-Noida Front Office Executive
103, Project Executive/coordinator Project Administration| Coordination
104, Sterling OMS Architect Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce
105, Dot net Developer analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net
106, Centreless Grinding Operator  NCTVT
107, PHP Developer Jobs In Gurgaon - Team Lead - PHP Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services
108, Sales Lead Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation
110, Senior Design Engineer - Manufacturing AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks
